country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
Main,Scotland,Premier League,1999/2000,31/07/99,Dundee United,Dundee,2,1,H,1,0,H
Main,Scotland,Premier League,1999/2000,31/07/99,Hibernian,Motherwell,2,2,D,1,0,H
Main,Scotland,Premier League,1999/2000,31/07/99,Rangers,Kilmarnock,2,1,H,1,0,H
Main,Scotland,Premier League,1999/2000,31/07/99,St Johnstone,Hearts,1,4,A,0,1,A
Main,Scotland,Premier League,1999/2000,01/08/99,Aberdeen,Celtic,0,5,A,0,3,A
Main,Scotland,Premier League,1999/2000,07/08/99,Celtic,St Johnstone,3,0,H,2,0,H
Main,Scotland,Premier League,1999/2000,07/08/99,Hearts,Rangers,0,4,A,0,2,A
Main,Scotland,Premier League,1999/2000,07/08/99,Kilmarnock,Aberdeen,2,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,07/08/99,Motherwell,Dundee United,2,2,D,2,0,H
Main,Scotland,Premier League,1999/2000,08/08/99,Dundee,Hibernian,3,4,A,0,1,A
Main,Scotland,Premier League,1999/2000,14/08/99,Aberdeen,Dundee,0,2,A,0,2,A
Main,Scotland,Premier League,1999/2000,14/08/99,Hibernian,Hearts,1,1,D,1,0,H
Main,Scotland,Premier League,1999/2000,15/08/99,Dundee United,Celtic,2,1,H,2,0,H
Main,Scotland,Premier League,1999/2000,15/08/99,Rangers,Motherwell,4,1,H,2,0,H
Main,Scotland,Premier League,1999/2000,15/08/99,St Johnstone,Kilmarnock,2,0,H,0,0,D
Main,Scotland,Premier League,1999/2000,21/08/99,Dundee,Celtic,1,2,A,0,0,D
Main,Scotland,Premier League,1999/2000,21/08/99,Kilmarnock,Motherwell,0,1,A,0,1,A
Main,Scotland,Premier League,1999/2000,21/08/99,Rangers,Dundee United,4,1,H,1,0,H
Main,Scotland,Premier League,1999/2000,21/08/99,St Johnstone,Hibernian,1,1,D,1,0,H
Main,Scotland,Premier League,1999/2000,22/08/99,Hearts,Aberdeen,3,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,28/08/99,Hibernian,Rangers,0,1,A,0,0,D
Main,Scotland,Premier League,1999/2000,28/08/99,Motherwell,Dundee,0,2,A,0,1,A
Main,Scotland,Premier League,1999/2000,29/08/99,Aberdeen,St Johnstone,0,3,A,0,1,A
Main,Scotland,Premier League,1999/2000,29/08/99,Celtic,Hearts,4,0,H,2,0,H
Main,Scotland,Premier League,1999/2000,29/08/99,Dundee United,Kilmarnock,0,0,D,0,0,D
Main,Scotland,Premier League,1999/2000,11/09/99,Dundee United,Hibernian,3,1,H,1,0,H
Main,Scotland,Premier League,1999/2000,11/09/99,Hearts,Dundee,4,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,11/09/99,Rangers,Aberdeen,3,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,11/09/99,St Johnstone,Motherwell,1,1,D,1,0,H
Main,Scotland,Premier League,1999/2000,12/09/99,Kilmarnock,Celtic,0,1,A,0,0,D
Main,Scotland,Premier League,1999/2000,18/09/99,Aberdeen,Dundee United,1,2,A,0,1,A
Main,Scotland,Premier League,1999/2000,19/09/99,Dundee,St Johnstone,1,2,A,1,0,H
Main,Scotland,Premier League,1999/2000,19/09/99,Hibernian,Kilmarnock,0,3,A,0,1,A
Main,Scotland,Premier League,1999/2000,25/09/99,Dundee United,Hearts,0,2,A,0,1,A
Main,Scotland,Premier League,1999/2000,25/09/99,Hibernian,Celtic,0,2,A,0,0,D
Main,Scotland,Premier League,1999/2000,25/09/99,Kilmarnock,Dundee,0,2,A,0,1,A
Main,Scotland,Premier League,1999/2000,25/09/99,Rangers,St Johnstone,3,1,H,1,0,H
Main,Scotland,Premier League,1999/2000,02/10/99,Aberdeen,Hibernian,2,2,D,0,0,D
Main,Scotland,Premier League,1999/2000,02/10/99,Dundee,Rangers,2,3,A,0,1,A
Main,Scotland,Premier League,1999/2000,16/10/99,Celtic,Aberdeen,7,0,H,3,0,H
Main,Scotland,Premier League,1999/2000,16/10/99,Hearts,St Johnstone,1,1,D,1,0,H
Main,Scotland,Premier League,1999/2000,16/10/99,Kilmarnock,Rangers,1,1,D,0,1,A
Main,Scotland,Premier League,1999/2000,16/10/99,Motherwell,Hibernian,2,2,D,1,1,D
Main,Scotland,Premier League,1999/2000,17/10/99,Dundee,Dundee United,0,2,A,0,1,A
Main,Scotland,Premier League,1999/2000,20/10/99,Motherwell,Aberdeen,5,6,A,2,4,A
Main,Scotland,Premier League,1999/2000,23/10/99,Aberdeen,Kilmarnock,2,2,D,1,0,H
Main,Scotland,Premier League,1999/2000,23/10/99,Dundee United,Motherwell,0,2,A,0,1,A
Main,Scotland,Premier League,1999/2000,23/10/99,Hibernian,Dundee,5,2,H,2,1,H
Main,Scotland,Premier League,1999/2000,24/10/99,St Johnstone,Celtic,1,2,A,1,0,H
Main,Scotland,Premier League,1999/2000,27/10/99,Celtic,Motherwell,0,1,A,0,1,A
Main,Scotland,Premier League,1999/2000,27/10/99,Hearts,Kilmarnock,2,2,D,0,0,D
Main,Scotland,Premier League,1999/2000,27/10/99,St Johnstone,Dundee United,0,1,A,0,0,D
Main,Scotland,Premier League,1999/2000,30/10/99,Aberdeen,Rangers,1,5,A,1,1,D
Main,Scotland,Premier League,1999/2000,30/10/99,Celtic,Kilmarnock,5,1,H,0,1,A
Main,Scotland,Premier League,1999/2000,30/10/99,Dundee,Hearts,1,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,30/10/99,Motherwell,St Johnstone,1,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,31/10/99,Hibernian,Dundee United,3,2,H,1,2,A
Main,Scotland,Premier League,1999/2000,06/11/99,Dundee United,Aberdeen,3,1,H,0,0,D
Main,Scotland,Premier League,1999/2000,06/11/99,Hearts,Motherwell,1,1,D,1,0,H
Main,Scotland,Premier League,1999/2000,06/11/99,Kilmarnock,Hibernian,0,2,A,0,0,D
Main,Scotland,Premier League,1999/2000,06/11/99,St Johnstone,Dundee,0,1,A,0,1,A
Main,Scotland,Premier League,1999/2000,07/11/99,Rangers,Celtic,4,2,H,2,2,D
Main,Scotland,Premier League,1999/2000,20/11/99,Dundee,Motherwell,0,1,A,0,1,A
Main,Scotland,Premier League,1999/2000,20/11/99,Hearts,Celtic,1,2,A,1,0,H
Main,Scotland,Premier League,1999/2000,20/11/99,Kilmarnock,Dundee United,1,1,D,0,0,D
Main,Scotland,Premier League,1999/2000,20/11/99,Rangers,Hibernian,2,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,21/11/99,St Johnstone,Aberdeen,1,1,D,0,0,D
Main,Scotland,Premier League,1999/2000,23/11/99,Motherwell,Hearts,2,1,H,1,0,H
Main,Scotland,Premier League,1999/2000,24/11/99,Hibernian,St Johnstone,0,1,A,0,1,A
Main,Scotland,Premier League,1999/2000,27/11/99,Dundee United,St Johnstone,1,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,27/11/99,Hibernian,Aberdeen,2,0,H,2,0,H
Main,Scotland,Premier League,1999/2000,27/11/99,Kilmarnock,Hearts,2,2,D,0,2,A
Main,Scotland,Premier League,1999/2000,28/11/99,Motherwell,Celtic,3,2,H,2,2,D
Main,Scotland,Premier League,1999/2000,28/11/99,Rangers,Dundee,1,2,A,0,1,A
Main,Scotland,Premier League,1999/2000,04/12/99,Celtic,Hibernian,4,0,H,2,0,H
Main,Scotland,Premier League,1999/2000,05/12/99,Hearts,Dundee United,3,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,08/12/99,Aberdeen,Hearts,3,1,H,1,1,D
Main,Scotland,Premier League,1999/2000,11/12/99,Aberdeen,Celtic,0,6,A,0,2,A
Main,Scotland,Premier League,1999/2000,11/12/99,Hibernian,Motherwell,2,2,D,0,0,D
Main,Scotland,Premier League,1999/2000,11/12/99,Rangers,Kilmarnock,1,0,H,0,0,D
Main,Scotland,Premier League,1999/2000,12/12/99,Dundee United,Dundee,1,0,H,0,0,D
Main,Scotland,Premier League,1999/2000,18/12/99,Celtic,Dundee United,4,1,H,0,1,A
Main,Scotland,Premier League,1999/2000,18/12/99,Kilmarnock,St Johnstone,1,2,A,0,2,A
Main,Scotland,Premier League,1999/2000,18/12/99,Motherwell,Rangers,1,5,A,0,3,A
Main,Scotland,Premier League,1999/2000,19/12/99,Hearts,Hibernian,0,3,A,0,2,A
Main,Scotland,Premier League,1999/2000,22/12/99,Rangers,Hearts,1,0,H,0,0,D
Main,Scotland,Premier League,1999/2000,27/12/99,Aberdeen,Dundee United,3,1,H,1,1,D
Main,Scotland,Premier League,1999/2000,27/12/99,Celtic,Rangers,1,1,D,1,1,D
Main,Scotland,Premier League,1999/2000,27/12/99,Dundee,St Johnstone,1,1,D,0,1,A
Main,Scotland,Premier League,1999/2000,27/12/99,Hibernian,Kilmarnock,2,2,D,0,2,A
Main,Scotland,Premier League,1999/2000,22/01/00,Dundee United,Hibernian,0,0,D,0,0,D
Main,Scotland,Premier League,1999/2000,22/01/00,Hearts,Dundee,2,0,H,1,0,H
Main,Scotland,Premier League,1999/2000,22/01/00,Rangers,Aberdeen,5,0,H,3,0,H
Main,Scotland,Premier League,1999/2000,22/01/00,St Johnstone,Motherwell,1,1,D,1,0,H
Main,Scotland,Premier League,1999/2000,23/01/00,Kilmarnock,Celtic,1,1,D,1,1,D
Main,Scotland,Premier League,1999/2000,26/01/00,Aberdeen,Motherwell,1,1,D,0,1,A
Main,Scotland,Premier League,1999/2000,26/01/00,Dundee,Kilmarnock,0,0,D,0,0,D
